name,region,year,life_exp,income,child_mort,fertility,population
Togo,africa,2020,65.28,1700,66.2,4.2,8278737
Thailand,asia,2020,78.78,18500,8.49,1.43,69799978
Tajikistan,asia,2020,70.97,3310,32.46,3.18,9537642
Turkmenistan,asia,2020,70.47,19400,44.36,2.7,6031187
Timor-Leste,asia,2020,71.53,6090,42.69,5.06,1318442
Tonga,asia,2020,72.09,6310,14.81,3.48,105697
Trinidad and Tobago,americas,2020,74.63,29400,17.51,1.71,1399491
Tunisia,africa,2020,78.93,11500,15.94,2.1,11818618
Turkey,europe,2020,79.73,25900,9.73,1.98,84339067
Taiwan,asia,2020,80.46,45800,4.33,1.25,23816775
Tanzania,africa,2020,68.11,3150,49.5,4.77,59734213
Uganda,africa,2020,66.97,1980,43.02,5.24,45741000
Ukraine,europe,2020,70.88,9080,8.18,1.59,43733759
Uruguay,americas,2020,77.47,21900,7.2,1.95,3473727
United States,americas,2020,78.63,58200,6.62,1.89,331002647
Uzbekistan,asia,2020,70.81,7100,20.34,2.18,33469199
St. Vincent and the Grenadines,americas,2020,72.65,11700,15.54,1.85,110947
Venezuela,americas,2020,75.1,8600,25.54,2.23,28435943
Vietnam,asia,2020,74.78,7760,20.04,1.94,97338583
Vanuatu,asia,2020,65.13,2930,24.91,3.14,307150
Samoa,asia,2020,73.28,6540,14.94,3.78,198410
Yemen,asia,2020,68.16,2580,54.58,3.61,29825968
South Africa,africa,2020,67.19,12000,32.09,2.35,59308690
Zambia,africa,2020,64.35,3600,54.5,4.76,18383956
Zimbabwe,africa,2020,62.29,2420,43.06,3.47,14862927
Andorra,NA,NA,NA,NA,2.85,NA,77265
Dominica,NA,NA,NA,NA,34.26,NA,71991
Holy See,NA,NA,NA,NA,18.1,NA,809
Liechtenstein,NA,NA,NA,NA,5.86,NA,38137
"Macedonia, FYR",NA,NA,NA,NA,9.69,1.56,2083380
Marshall Islands,NA,NA,NA,NA,31.42,NA,59194
Monaco,NA,NA,NA,NA,3,NA,39244
Nauru,NA,NA,NA,NA,31.32,NA,10834
Palau,NA,NA,NA,NA,16.95,NA,18092
St. Kitts and Nevis,NA,NA,NA,NA,11,NA,53192
San Marino,NA,NA,NA,NA,1.9,NA,33938
Swaziland,NA,NA,NA,NA,50.85,2.89,1160164
Tuvalu,NA,NA,NA,NA,23.51,NA,11792
